student_id,pass_final,parental_education,extracurricular,math_score,math_score.1,reading_score,attendance_pct,study_hours_per_week,math_score.2,math_score.3,writing_score,Total
S80084,1.0,PhD,No,47.9,47.9,75.6,64.3,11.7,47.9,47.9,73.6,148.03
S80085,1.0,Masters,Yes,52.3,52.3,55.2,80.1,13.9,52.3,52.3,73.5,132.0
S80086,1.0,High School,Yes,50.4,50.4,46.8,98.6,27.6,50.4,50.4,70.3,120.63
S80087,1.0,PhD,Yes,58.0,58.0,77.1,97.7,10.8,58.0,58.0,71.6,158.97
S80088,1.0,Masters,No,77.5,77.5,55.9,61.4,18.4,77.5,77.5,72.2,157.47
S80089,1.0,Bachelors,Yes,62.0,62.0,88.9,51.8,10.9,62.0,62.0,59.8,170.83
S80090,1.0,High School,No,75.7,75.7,95.4,51.8,2.8,75.7,75.7,56.1,189.8
S80091,1.0,PhD,Yes,49.0,49.0,75.1,69.9,13.6,49.0,49.0,68.8,147.03
S80092,1.0,Bachelors,No,59.3,59.3,68.8,91.7,17.9,59.3,59.3,61.0,148.43
S80093,0.0,Masters,No,50.9,50.9,67.4,95.8,12.2,50.9,50.9,70.4,141.77
S80094,1.0,High School,No,71.6,71.6,49.5,61.8,11.7,71.6,71.6,54.0,139.1
S80095,1.0,Masters,No,62.3,62.3,66.6,63.3,24.6,62.3,62.3,48.8,145.17
S80097,1.0,Bachelors,Yes,54.9,54.9,62.4,67.5,8.9,54.9,54.9,67.0,139.63
S80098,0.0,achelors,Yes,49.4,49.4,74.7,90.2,24.4,49.4,49.4,47.0,139.77
S80099,1.0,Masters,Yes,69.5,69.5,71.6,82.3,27.6,69.5,69.5,93.3,172.2
S80100,1.0,PhD,No,62.4,62.4,71.6,89.3,12.4,62.4,62.4,93.4,165.13
S80101,1.0,PhD,No,72.5,72.5,64.7,79.2,26.7,72.5,72.5,79.5,163.7
S80102,1.0,PhD,No,64.1,64.1,77.2,62.9,6.0,64.1,64.1,63.2,162.37
S80104,1.0,PhD,Yes,55.0,55.0,77.2,50.5,25.4,55.0,55.0,71.9,156.17
S80105,1.0,High School,No,61.0,61.0,69.1,89.0,27.1,61.0,61.0,75.8,155.37
S80106,1.0,Bachelors,Yes,42.1,42.1,91.3,92.4,6.7,42.1,42.1,71.9,157.37
S80107,0.0,Masters,No,83.0,83.0,40.7,88.4,1.8,83.0,83.0,51.0,140.7
S80108,1.0,Masters,No,84.0,84.0,77.5,53.7,14.52008032128514,84.0,84.0,65.5,183.33
S80109,1.0,PhD,No,79.1,79.1,80.3,88.1,7.8,79.1,79.1,74.9,184.37
S80110,1.0,High School,No,58.1,58.1,54.8,52.3,14.52008032128514,58.1,58.1,37.3,125.33
S80111,1.0,Bachelors,No,55.6,55.6,91.9,55.3,15.3,55.6,55.6,53.6,165.37
S80112,1.0,Masters,Yes,72.5,72.5,70.3,72.0,13.7,72.5,72.5,74.8,167.73
S80113,1.0,Masters,No,50.7,50.7,68.5,73.8,17.5,50.7,50.7,63.9,140.5
S80114,1.0,High School,Yes,82.0,82.0,74.5,90.8,26.7,82.0,82.0,64.0,177.83
S80115,1.0,Bachelors,Yes,29.3,29.3,80.7,84.0,2.7,29.3,29.3,82.4,137.47
S80117,1.0,Bachelors,No,49.0,49.0,71.2,61.3,27.8,49.0,49.0,61.8,140.8
S80118,1.0,Masters,No,83.7,83.7,80.1,64.3,6.4,83.7,83.7,64.0,185.13
S80119,1.0,PhD,No,81.1,81.1,81.6,56.2,25.1,81.1,81.1,64.4,184.17
S80120,1.0,PhD,No,73.5,73.5,74.0,64.4,20.9,73.5,73.5,57.2,166.57
S80121,1.0,PhD,No,93.7,93.7,51.4,86.4,0.4,93.7,93.7,65.1,166.8
S80123,1.0,Masters,Yes,65.16463414634147,65.16463414634147,83.0,91.8,18.2,65.16463414634147,65.16463414634147,63.7,169.4
S80124,1.0,High School,No,41.0,41.0,66.7,73.5,15.1,41.0,41.0,61.3,128.13
S80125,1.0,High School,No,60.2,60.2,66.7,66.1,15.8,60.2,60.2,71.0,150.57
S80126,1.0,PhD,Yes,66.7,66.7,75.3,85.5,7.0,66.7,66.7,87.7,171.23
S80127,1.0,High School,Yes,51.2,51.2,73.8,85.5,20.3,51.2,51.2,71.4,148.8
S80128,1.0,Masters,Yes,68.8,68.8,73.8,75.8,8.0,68.8,68.8,69.3,165.7
S80129,1.0,High School,No,35.5,35.5,78.9,50.4,11.7,35.5,35.5,71.0,138.07
S80130,0.0,High School,Yes,65.16463414634147,65.16463414634147,54.8,96.1,11.1,65.16463414634147,65.16463414634147,56.8,138.9
S80131,1.0,Masters,No,65.16463414634147,65.16463414634147,49.2,53.3,20.2,65.16463414634147,65.16463414634147,77.1,140.06
S80132,1.0,High School,No,53.2,53.2,88.0,96.9,2.7,53.2,53.2,73.3,165.63
S80133,1.0,PhD,Yes,76.2,76.2,56.5,51.4,6.2,76.2,76.2,67.4,155.17
S80134,1.0,PhD,Yes,87.0,87.0,52.3,88.5,6.0,87.0,87.0,72.6,163.5
S80135,1.0,Masters,Yes,78.4,78.4,66.1,76.7,3.3,78.4,78.4,72.3,168.6
S80136,1.0,PhD,No,52.8,52.8,66.1,75.3,6.2,52.8,52.8,72.3,143.0
S80137,0.0,PhD,No,75.0,75.0,66.1,53.6,18.2,75.0,75.0,80.9,168.07
S80138,1.0,PhD,Yes,61.2,61.2,67.3,61.9,22.0,61.2,61.2,58.1,147.87
S80139,1.0,PhD,No,65.16463414634147,65.16463414634147,52.9,88.9,19.8,65.16463414634147,65.16463414634147,85.0,146.4
S80140,1.0,PhD,Yes,68.3,68.3,78.6,94.6,14.3,68.3,68.3,47.2,162.63
S80141,1.0,High School,No,42.9,42.9,51.6,76.5,1.6,42.9,42.9,76.6,120.03
S80142,1.0,Masters,Yes,61.4,61.4,70.3,67.7,28.8,61.4,61.4,70.2,155.1
S80143,0.0,Bachelors,No,52.6,52.6,72.8,53.0,5.0,52.6,52.6,55.5,143.9
S80144,1.0,Masters,Yes,53.3,53.3,77.8,84.1,20.1,53.3,53.3,81.4,158.23
S80145,1.0,Masters,No,60.1,60.1,72.7,63.9,27.4,60.1,60.1,44.4,147.6
S80146,0.0,Masters,No,69.1,69.1,56.9,52.8,20.9,69.1,69.1,89.1,155.7
S80147,1.0,High School,No,78.6,78.6,65.1,83.3,6.5,78.6,78.6,97.3,176.13
S80148,1.0,Masters,Yes,65.16463414634147,65.16463414634147,61.6,74.3,9.5,65.16463414634147,65.16463414634147,65.9,148.73
S80149,1.0,Masters,No,83.2,83.2,51.1,50.6,0.9,83.2,83.2,54.6,152.5
S80150,1.0,High School,No,39.5,39.5,75.2,55.5,18.4,39.5,39.5,60.5,134.87
S80151,1.0,PhD,Yes,52.4,52.4,60.9,85.0,18.4,52.4,52.4,80.7,140.2
S80152,1.0,Bachelors,Yes,95.7,95.7,71.8,53.2,21.8,95.7,95.7,63.8,188.77
S80153,1.0,PhD,No,47.9,47.9,68.7,93.3,0.3,47.9,47.9,29.8,126.53
S80154,1.0,Masters,No,83.8,83.8,56.4,65.6,24.5,83.8,83.8,73.0,164.53
S80155,1.0,PhD,Yes,64.6,64.6,55.6,54.4,22.2,64.6,64.6,79.6,146.73
S80156,1.0,High School,No,63.9,63.9,66.0,88.0,4.2,63.9,63.9,74.7,154.8
S80157,1.0,Bachelors,No,79.0,79.0,54.2,76.2,10.4,79.0,79.0,76.8,158.8
S80158,0.0,PhD,Yes,76.9,76.9,81.9,65.3,19.2,76.9,76.9,88.9,188.43
S80159,1.0,Masters,Yes,85.0,85.0,86.1,70.3,14.9,85.0,85.0,65.3,192.87
S80160,1.0,Bachelors,Yes,61.3,61.3,79.4,51.1,14.52008032128514,61.3,61.3,90.3,170.8
S80161,1.0,Masters,No,67.1,67.1,74.2,83.1,2.6,67.1,67.1,66.0,163.3
S80162,1.0,Masters,No,61.2,61.2,70.7,68.3,23.4,61.2,61.2,68.72032520325203,154.81
S80163,1.0,PhD,Yes,48.3,48.3,70.7,85.7,4.7,48.3,48.3,66.1,141.03
S80164,1.0,Masters,Yes,67.6,67.6,79.9,81.4,5.2,67.6,67.6,94.5,179.0
S80165,1.0,Masters,No,62.5,62.5,86.5,82.6,24.9,62.5,62.5,76.4,174.47
S80166,1.0,Bachelors,Yes,36.9,36.9,65.9,89.6,18.4,36.9,36.9,66.7,125.03
S80167,1.0,Bachelors,No,81.6,81.6,69.6,81.6,18.1,81.6,81.6,52.4,168.67
S80169,1.0,Masters,Yes,54.5,54.5,66.0,69.5,14.52008032128514,54.5,54.5,57.3,139.6
S80171,1.0,Masters,No,57.1,57.1,66.5,89.0,29.0,57.1,57.1,76.6,149.13
S80172,1.0,High School,Yes,68.0,68.0,75.2,88.1,6.7,68.0,68.0,81.5,170.37
S80173,1.0,High School,No,85.8,85.8,73.9,62.3,6.4,85.8,85.8,75.0,184.7
S80174,1.0,High School,No,71.0,71.0,73.9,93.1,14.52008032128514,71.0,71.0,69.0,167.9
S80175,1.0,Masters,No,57.7,57.7,40.7,79.5,19.7,57.7,57.7,85.2,126.8
S80176,1.0,Bachelors,No,49.5,49.5,70.6,73.9,16.5,49.5,49.5,86.7,149.0
S80177,1.0,High School,No,54.3,54.3,77.4,50.9,3.3,54.3,54.3,54.3,149.8
S80178,1.0,Masters,No,77.2,77.2,69.9,69.1,10.9,77.2,77.2,90.9,177.4
S80179,0.0,PhD,No,64.2,64.2,83.6,82.0,5.4,64.2,64.2,84.0,175.8
S80180,1.0,Bachelors,Yes,73.4,73.4,68.8,54.5,9.9,73.4,73.4,56.9,161.17
S80181,1.0,High School,Yes,60.8,60.8,74.8,73.0,28.5,60.8,60.8,43.6,150.13
S80182,1.0,Masters,Yes,51.0,51.0,58.0,99.7,20.5,51.0,51.0,68.72032520325203,131.91
S80184,1.0,Bachelors,No,52.9,52.9,79.4,77.3,7.6,52.9,52.9,62.1,153.0
S80185,1.0,PhD,No,65.16463414634147,65.16463414634147,61.4,76.7,0.3,65.16463414634147,65.16463414634147,72.1,150.6
S80186,1.0,High School,No,46.6,46.6,52.8,52.2,21.4,46.6,46.6,83.4,127.2
S80188,0.0,Masters,Yes,78.4,78.4,58.0,96.4,29.8,78.4,78.4,68.72032520325203,159.31
S80189,1.0,PhD,Yes,80.7,80.7,77.2,84.1,22.0,80.7,80.7,68.7,180.8
S80190,0.0,PhD,Yes,81.4,81.4,64.1,55.0,15.5,81.4,81.4,87.5,174.67
S80191,1.0,Masters,No,81.4,81.4,78.6,60.4,24.1,81.4,81.4,78.8,186.27
S80192,1.0,Masters,No,59.7,59.7,51.2,59.2,21.1,59.7,59.7,78.6,137.1
S80193,1.0,High School,No,75.0,75.0,51.2,76.0,7.3,75.0,75.0,62.2,146.93
S80194,1.0,Masters,Yes,80.8,80.8,60.8,60.4,15.9,80.8,80.8,76.7,167.17
S80195,1.0,PhD,Yes,51.9,51.9,73.3,84.8,16.7,51.9,51.9,61.7,145.77
S80196,1.0,Bachelors,No,67.9,67.9,45.1,77.3,13.5,67.9,67.9,66.6,135.2
S80197,1.0,PhD,No,63.1,63.1,66.7,91.2,5.4,63.1,63.1,68.72032520325203,152.71
S80198,1.0,Bachelors,No,36.9,36.9,65.6,91.2,6.7,36.9,36.9,69.1,125.53
S80199,1.0,PhD,Yes,69.9,69.9,74.3,91.2,8.4,69.9,69.9,72.1,168.23
S80201,1.0,Bachelors,No,80.8,80.8,58.5,67.8,14.52008032128514,80.8,80.8,63.3,160.4
S80202,1.0,High School,No,53.6,53.6,42.9,66.9,20.6,53.6,53.6,54.5,114.67
S80203,1.0,High School,Yes,69.9,69.9,60.8,50.6,20.7,69.9,69.9,56.2,149.43
S80204,1.0,Masters,No,66.7,66.7,54.8,99.4,17.2,66.7,66.7,53.4,139.3
S80205,1.0,Bachelors,No,39.2,39.2,55.5,80.6,20.7,39.2,39.2,88.9,124.33
S80206,0.0,High School,Yes,60.2,60.2,61.2,71.1,29.5,60.2,60.2,76.5,146.9
S80207,1.0,High School,No,70.4,70.4,79.8,54.8,11.6,70.4,70.4,81.9,177.5
S80208,1.0,Bachelors,No,80.4,80.4,54.8,85.0,21.4,80.4,80.4,79.6,161.73
S80209,1.0,High School,No,65.3,65.3,47.7,64.1,10.8,65.3,65.3,65.4,134.8
S80210,1.0,Bachelors,Yes,78.6,78.6,63.0,99.4,25.6,78.6,78.6,89.2,171.33
S80211,1.0,High School,No,73.1,73.1,66.7,97.5,14.52008032128514,73.1,73.1,59.0,159.47
S80212,1.0,PhD,No,73.6,73.6,65.9,86.8,27.1,73.6,73.6,94.2,170.9
S80213,1.0,Bachelors,Yes,74.2,74.2,62.1,98.6,0.2,74.2,74.2,69.6,159.5
S80214,1.0,Bachelors,No,60.9,60.9,67.1,55.3,8.9,60.9,60.9,91.3,158.43
S80215,1.0,High School,No,50.2,50.2,72.6,64.0,4.0,50.2,50.2,54.4,140.93
S80216,1.0,Bachelors,Yes,65.16463414634147,65.16463414634147,59.5,62.7,13.6,65.16463414634147,65.16463414634147,62.4,145.46
S80217,1.0,Masters,No,76.5,76.5,82.0,53.6,14.9,76.5,76.5,68.72032520325203,181.41
S80218,1.0,Masters,No,64.0,64.0,67.8,98.6,7.7,64.0,64.0,81.5,158.97
S80219,1.0,Bachelors,No,74.3,74.3,81.8,53.0,21.7,74.3,74.3,71.3,179.87
S80220,0.0,Masters,Yes,65.16463414634147,65.16463414634147,73.2,88.4,14.52008032128514,65.16463414634147,65.16463414634147,94.2,169.76
S80222,1.0,High School,Yes,59.9,59.9,46.5,68.8,5.3,59.9,59.9,85.4,134.87
S80223,0.0,Bachelors,Yes,84.9,84.9,82.8,50.9,11.0,84.9,84.9,69.0,190.7
S80224,1.0,High School,Yes,64.9,64.9,59.1,50.3,18.7,64.9,64.9,66.8,146.27
S80225,1.0,High School,Yes,70.6,70.6,68.8,60.2,18.2,70.6,70.6,64.2,160.8
S80226,0.0,Masters,Yes,83.9,83.9,62.8,74.7,2.3,83.9,83.9,57.0,165.7
S80227,0.0,High School,Yes,64.9,64.9,86.1,72.9,25.4,64.9,64.9,72.9,175.3
S80228,1.0,High School,Yes,51.0,51.0,69.1,79.3,17.9,51.0,51.0,70.7,143.67
S80229,1.0,Masters,No,66.7,66.7,53.4,88.6,26.1,66.7,66.7,47.6,135.97
S80230,1.0,PhD,No,56.6,56.6,66.8,68.9,26.0,56.6,56.6,35.4,135.2
S80231,0.0,Bachelors,Yes,44.1,44.1,83.5,58.0,16.4,44.1,44.1,63.9,148.9
S80233,0.0,PhD,No,61.2,61.2,51.3,66.6,25.5,61.2,61.2,70.9,136.13
S80234,1.0,Masters,No,20.2,20.2,51.3,64.3,28.7,20.2,20.2,51.1,88.53
S80235,1.0,Masters,Yes,68.8,68.8,51.3,88.2,25.5,68.8,68.8,44.9,135.07
S80236,1.0,High School,No,69.0,69.0,49.6,96.7,24.6,69.0,69.0,83.0,146.27
S80237,1.0,High School,Yes,94.3,94.3,58.7,95.7,14.1,94.3,94.3,46.5,168.5
S80238,1.0,Bachelors,Yes,64.9,64.9,72.7,56.9,6.4,64.9,64.9,77.9,163.57
S80239,1.0,Bachelors,No,81.0,81.0,74.6,75.2,14.52008032128514,81.0,81.0,75.4,180.73
S80240,0.0,Masters,No,74.7,74.7,74.6,54.6,21.7,74.7,74.7,89.3,179.07
S80241,1.0,High School,Yes,56.2,56.2,57.1,98.0,8.5,56.2,56.2,59.8,133.23
S80242,1.0,Masters,Yes,70.2,70.2,80.2,60.8,10.2,70.2,70.2,80.2,177.13
S80243,0.0,PhD,No,65.16463414634147,65.16463414634147,78.2,59.9,20.6,65.16463414634147,65.16463414634147,86.2,172.1
S80244,1.0,Bachelors,No,54.7,54.7,75.2,94.4,14.3,54.7,54.7,50.6,146.77
S80245,1.0,Bachelors,No,57.3,57.3,56.7,98.4,2.4,57.3,57.3,69.7,137.23
S80246,1.0,Masters,Yes,55.2,55.2,62.2,84.9,4.2,55.2,55.2,67.5,139.9
S80247,1.0,High School,No,64.9,64.9,73.4,56.1,22.4,64.9,64.9,54.2,156.37
S80248,1.0,High School,No,64.9,64.9,76.6,74.3,9.9,64.9,64.9,71.4,165.3
S80249,0.0,PhD,No,56.8,56.8,57.5,90.8,15.2,56.8,56.8,52.8,131.9
S80057,1.0,High School,No,56.9,56.9,66.8,78.1,15.4,56.9,56.9,47.1,139.4
S80212,1.0,PhD,No,73.6,73.6,65.9,86.8,27.1,73.6,73.6,94.2,170.9
S80134,1.0,PhD,Yes,87.0,87.0,52.3,88.5,6.0,87.0,87.0,72.6,163.5
S80024,1.0,PhD,No,73.4,73.4,69.6,64.3,25.8,73.4,73.4,64.0,164.33
S80184,1.0,Bachelors,No,52.9,52.9,79.4,77.3,7.6,52.9,52.9,62.1,153.0
S80139,1.0,PhD,No,65.16463414634147,65.16463414634147,52.9,88.9,19.8,65.16463414634147,65.16463414634147,85.0,146.4
S80158,0.0,PhD,Yes,76.9,76.9,81.9,65.3,19.2,76.9,76.9,88.9,188.43
S80238,1.0,Bachelors,Yes,64.9,64.9,72.7,56.9,6.4,64.9,64.9,77.9,163.57
S80026,0.0,achelors,No,69.6,69.6,72.7,80.1,3.1,69.6,69.6,68.72032520325203,165.21
S80085,1.0,Masters,Yes,52.3,52.3,55.2,80.1,13.9,52.3,52.3,73.5,132.0
